artist,painting,gif_compression,jpeg_compression,kolmogorov_complexity,zurek_entropy,hough_value,laplacian_variance,sobel_sharpness,michelson_contrast,mean_magnitude_spectrum,fractal_dimension,edge_count
abdul qader al raes,258,87.55955049349978,12.440829413954761,0.473035,7.258178399371063,11,18.874679814543924,42.89298908442888,13.352941176470589,138.12379104470443,1.56867411398473,188.0
abdul qader al raes,259,71.76261862610268,9.647749808146736,0.388835,6.317487686500417,8,10.580047612485941,27.637956424887953,0.8723404255319149,133.938590108392,1.608541399803364,267.0
abdul qader al raes,260,63.48481509904187,7.8864988488804135,0.3348775,6.244259700709571,0,11.800603596595465,24.059162373891713,0.8983050847457628,132.11073528226487,1.6491751434258857,0.0
abdul qader al raes,261,108.42178845233302,20.16472787229031,0.573965,7.606559875271302,23,84.98286326472589,79.87849089674846,1.0,165.89370295298505,1.6537236566063085,7842.0
abdul qader al raes,262,93.26158147875178,11.901740735956722,0.5010375,7.553111880374134,13,21.19224081990251,44.5781090721326,20.166666666666668,136.50593121622828,1.6016127840625856,397.0
abdul qader al raes,263,82.36469596006413,12.325717455227906,0.45024,7.501939096503562,11,17.41667544176744,36.886008516289365,1.0,148.1025088194191,1.5951172241505187,623.0
abdul qader al raes,264,62.97763864722553,7.7577102217899725,0.3185025,7.219984292671949,15,13.391788035383797,27.779784334537474,1.0,124.57981374779084,1.5598890131085652,1590.0
abdul qader al raes,265,95.80240253474254,14.79321637249166,0.524225,7.602362082130599,15,27.562949660452432,47.08760053910014,1.0,150.65659251105288,1.5900982753348287,839.0
abdul qader al raes,266,80.26988625570812,9.355221068147799,0.42605,7.536068452097944,5,10.745284689066466,31.808112766781715,1.0,127.11434353076255,1.6014740339567601,209.0
abdul qader al raes,267,75.65173123827036,8.60072486342327,0.3815625,7.144952647838597,9,13.810920711606741,26.834234600467692,24.0,136.14337302052618,1.5484197989846358,489.0
abdul qader al raes,268,79.6802698862557,9.91862382323666,0.4202625,7.296525767274288,21,22.191701855146675,34.54220665310633,30.75,139.97228654703574,1.6113835114260302,1691.0
abdul qader al raes,269,73.65379793482307,8.083290910334243,0.37783,7.187964352089334,4,6.771736144495662,22.005396276585227,0.9213973799126638,128.8273018001087,1.5876745228610072,179.0
abdul qader al raes,270,80.29571996261711,10.084263473417876,0.4276225,7.445004311277542,4,12.151191007113084,30.267039738947307,0.8253968253968254,136.05247410059815,1.5885500905418648,262.0
abdul qader al raes,271,82.46005273115469,10.922719225596644,0.4378825,7.404415523391868,25,24.31235110630223,36.329905611845405,22.09090909090909,143.56567742858513,1.5911525914644709,1646.0
abdul qader al raes,272,65.13969197103584,8.011488401425412,0.3457675,6.9917459263575426,0,6.371510229757405,22.563983046358473,9.347826086956522,124.94598326732209,1.521214591218145,0.0
abidin dino,3623,82.25984150260996,10.851676531596903,0.45261,6.859245337144835,0,6.4596250203903764,28.45911435282954,15.933333333333334,140.26730919292314,1.5475914260536723,0.0
abidin dino,3624,56.50135626961272,6.9637036417928595,0.3009775,6.127264352881092,0,12.071271352222539,22.714938438326765,0.7283950617283951,124.01444389483062,1.4457065106312477,0.0
abidin dino,3625,68.83847094847695,10.108577550508697,0.387715,6.925972037588508,0,8.060855800154968,26.21919456220084,0.7727272727272727,135.49052989033984,1.5372708986300505,0.0
abidin dino,3626,84.13088571623952,14.219936023584657,0.4646125,6.287045366483998,0,12.417659724582336,38.997477050272096,0.8938053097345132,158.83930381182182,1.6224138021860082,0.0
abidin dino,3627,80.90547142716035,13.671729566677557,0.4042025,7.188531693616177,19,56.99144923883432,58.57509947848184,1.0,158.7192889629699,1.63528863123717,6106.0
abidin dino,3628,94.86365121456414,19.906010895745794,0.502295,6.699802832589555,0,38.222762716410216,69.7796679261134,1.0,166.87507576466862,1.6301365449487728,0.0
abidin dino,3629,96.0846737734688,15.664724073215764,0.503425,7.440895031223624,18,50.22971725136449,65.77879433991164,inf,153.7314234501211,1.6030665873904182,727.0
adalbert erdeli,4086,89.16959828585756,13.253451459224532,0.486665,6.917910882147746,0,18.258707416811376,41.63168457148192,3.8846153846153846,147.3186601757795,1.6333161183643126,0.0
adalbert erdeli,4087,93.62325337547773,14.075191283403363,0.5088325,7.316005181858641,0,19.103455311487778,45.00388263670797,0.890295358649789,147.54421182460757,1.6582707409599617,90.0
adnan coker,2824,103.76336324471357,17.31428224084613,0.553735,7.006803496396352,0,52.41395720071159,72.58050864130712,1.0,151.61152020298772,1.6709363703673106,74.0
adnan coker,2825,12.031669085410794,2.0993685938105475,0.040485,3.4879411602465074,0,3.95652770990273,4.771358678200674,44.6,94.94142003877312,1.5186126264147388,0.0
adnan coker,2826,25.456078899180163,3.4586774661692408,0.1065575,4.385657008239332,10,9.456120560353156,10.464908669639003,1.0,122.59884764026549,1.5516609800799528,2155.0
adnan coker,2827,25.773681531179005,4.339682853256947,0.10451,4.306714580496249,10,34.569279001501855,13.335952822638278,1.0,125.02115711636327,1.536945121292629,1021.0
adnan coker,2828,39.85571114876416,5.023896178890822,0.21127,4.498312513071096,6,13.343165377838886,14.910406976370039,9.181818181818182,125.6510697774347,1.342674716695328,188.0
adnan coker,2829,41.91746890457485,4.745424014710017,0.2175575,4.58905068155957,8,3.3701395166572183,9.823364423828478,36.6,123.22664900582876,1.613555257069212,208.0
adnan coker,2830,41.27428558403173,4.58434325398333,0.156935,5.284556720212134,17,12.425037310676998,14.910689381639898,1.0,128.82042790060675,1.4722208883659365,2505.0
adnan coker,2831,26.547932923539825,3.5631520161688615,0.0915925,5.206515460901403,8,6.904762936275802,9.0104852509862,1.0,132.09554228008065,1.475055057328567,472.0
adnan coker,2832,8.880716657422253,2.3368107529005937,0.0405125,1.2773575788011369,9,9.078437804651912,5.379065250954902,1.0,132.28308466120194,1.2414950217445981,955.0
adnan coker,2833,27.100698269901454,3.473113949441916,0.0935025,5.318366310979565,13,4.041019439682714,7.288705844443933,30.75,126.67871301748355,1.6235916215757944,453.0
adnan coker,2834,40.40733677276215,5.475986049798269,0.1807425,5.786469514219244,6,14.41406608732359,16.361806034003713,inf,142.45800791544278,1.5161018171590515,511.0
adnan coker,2835,109.60406045087416,22.621209473372286,0.5739875,7.112836131995544,22,82.41317852096108,93.8069180086911,1.0,169.2350508795654,1.6704006604706798,7751.0
adnan coker,2836,26.95405399244744,4.006504015621794,0.1331,4.242821421211228,12,11.476132563257124,11.355168060700054,1.0,123.58649782142281,1.5993318678680817,1738.0
adnan coker,2837,26.95747315953834,4.643608816892205,0.0958325,5.339052317175808,28,23.965327532729134,16.991515843763953,1.0,148.43400894953982,1.4320945541117818,2130.0
adnan coker,2838,24.704621954091984,3.4214465356239216,0.1027725,3.8628399390922343,7,8.121836267353501,7.5951866807374,0.8739495798319328,112.35899005757985,1.324681007004635,309.0
adnan coker,2839,44.6349469269286,5.616551807979577,0.236555,6.761030579551479,6,4.996456014909199,13.444200508880561,13.0,125.0670979219087,1.4960300568810714,519.0
adnan coker,2840,53.41878718344212,6.2111069743410505,0.185045,6.5509041813837285,23,49.599103338085115,34.72977028641123,1.0,123.1464276106307,1.4472889422643869,4603.0
adnan coker,2841,14.898070829945825,2.5719734672633745,0.0544275,2.809159828439094,0,4.733769351383671,5.66159375657457,0.927710843373494,116.85213339425256,1.4781237137416705,0.0
adnan coker,2842,57.38274156415497,7.454923980518345,0.31937,5.95180879598257,6,13.40085531375371,20.028869376478035,1.0,135.53889733227345,1.5292192823189688,478.0
adnan coker,2843,104.9065047754367,19.754427821382713,0.5623825,7.0687952141181984,15,55.02538912613818,73.26020135079698,1.0,165.3122656726596,1.6704578794932339,4110.0
adnan coker,2844,11.997477414501827,2.5981870816269157,0.0499775,2.7491748539019354,18,8.255683898925781,6.830753318219037,1.0,136.56479748701196,1.4200772168929214,723.0
adnan coker,2845,17.749276276299096,3.041918988534393,0.066185,3.714092439163787,17,10.352066034218296,8.562434762718452,1.0,131.06530176508662,1.4217688325273392,943.0
adnan coker,2846,29.585672930074235,3.8651784425313993,0.1318625,5.280844708175912,11,11.785060584996245,12.682796896200626,62.5,122.13506237091947,1.4482680825339707,808.0
adnan coker,2847,23.569458479914292,3.18438428398842,0.075905,5.110581853882384,15,7.749338325331337,8.1895025530972,253.0,136.96035670735193,1.4868524797718992,583.0
adnan coker,2848,16.51191769684905,2.5070092925363383,0.053045,4.294012006009729,8,4.25584214553237,5.258360724385357,0.925,131.55728894676034,1.4261706502323508,379.0
adnan coker,2849,35.64215757041585,4.433140087074788,0.171205,6.097074623735235,17,11.635828754864633,12.180110501217627,1.0,131.30712613455304,1.452793957903533,939.0
adnan coker,2850,12.857967799044154,2.7178579298082988,0.05268,2.069491391360004,15,17.074569659715053,9.391737839877214,1.0,118.80845637054827,1.3717105103634957,1247.0
adnan coker,2851,21.636869258648595,3.5221220110781015,0.0773025,4.056181844799618,14,21.477214806815027,15.785853089450136,0.9112903225806451,118.01001066688814,1.367514490247877,2787.0
adolf fleischmann,4532,71.14868817955946,7.765688278335397,0.3700325,7.2052614429154564,0,13.45665584411472,28.55647788608502,0.9672131147540983,124.5449630684052,1.5842801830307838,0.0
adolf fleischmann,4533,81.77811885024808,11.400262895958544,0.4307025,6.567353956584664,20,36.99266848688421,47.06470426533408,83.66666666666667,145.30404711995965,1.6093453520847634,5862.0
adolf fleischmann,4534,84.95604470750925,15.35092051576236,0.4701875,5.80674258702013,13,67.04262531542918,63.249100736446984,1.0,151.81945073279556,1.6537122100759438,8959.0
adolf fleischmann,4535,100.16981863218119,18.51289025993268,0.5301475,7.635034692120193,17,530.4687773351907,206.81773185857563,1.0,153.4162267742805,1.6616503394825022,38325.0
adolf fleischmann,4536,95.39628146583492,19.49988982683818,0.5357125,7.010379261444495,0,232.18511267914437,163.12431946296624,2.5277777777777777,152.23923236606436,1.6767567559260053,0.0
adolf fleischmann,4537,76.48866736063094,13.136819870679503,0.40054,6.313981486784015,15,106.29885353565624,77.62817532727249,1.0,151.46276746913395,1.6725276423256248,6551.0
adolf fleischmann,4538,84.71822264096465,13.73251475940461,0.419095,7.234970459919822,18,159.39549494277162,102.92927884773223,1.0,144.43904084327426,1.654241807694782,12804.0
adolf fleischmann,4539,103.96205484344014,20.171946113926648,0.565355,7.355357141378836,15,115.51484717939456,104.35684604357267,1.0,165.00247573076325,1.6637803143794243,5090.0
adolf fleischmann,4540,108.3579639999696,15.46185349248923,0.5574375,7.194208997595443,13,81.99796586482262,107.87806639192901,1.0,137.2958721459637,1.6609456336351975,8207.0
adolf fleischmann,4541,108.15623314160669,18.074856964843363,0.5569475,7.24077149850574,13,114.18770216834673,105.810725485386,1.0,153.8064986132365,1.6320868950275922,8936.0
adolf fleischmann,4542,113.38527934595133,20.71103479192469,0.586115,7.194674786510756,12,138.6605840092525,135.25524612324259,1.0,155.22100891363704,1.6684162441679646,10022.0
adolf fleischmann,4543,101.73731678963006,15.599759898488728,0.5361375,6.961059789497082,22,53.69274882081663,73.71109515354082,11.095238095238095,146.70273402038487,1.643516995186658,4027.0
adolf fleischmann,4544,98.63157334873225,16.312086375758867,0.5156225,6.578930665100367,20,50.78250883700093,74.20953143073743,9.583333333333334,146.75865451054955,1.6578662678000127,1024.0
adolf fleischmann,4545,97.06065602419251,17.275531680482633,0.466765,7.00977542647638,11,287.2630239123828,170.1027945242933,1.0,152.96977839681148,1.6757911560686125,6867.0
adolf fleischmann,4546,74.18870763082113,9.561890723419776,0.3926275,6.604525671672401,13,53.10024357364455,56.3641147129653,1.0,131.71001081139556,1.58127209050667,4229.0
adolf fleischmann,4547,81.86397793497504,13.638677618132222,0.451715,6.388904340978491,16,64.75560802487598,65.2156739140139,0.9541284403669725,146.12834511979773,1.5956657452810763,9398.0
adolf fleischmann,4548,86.34992515823146,12.573797023045186,0.41738,6.668005361609086,15,83.74615074308531,78.04472972495525,1.0,141.9809787708167,1.6262465455283048,8016.0
adolf fleischmann,4549,89.7086869638556,18.439568121205674,0.492165,7.018170142259563,8,216.3683657189831,142.16618741417193,1.0,153.83350640259266,1.677733621934961,8881.0
adolf fleischmann,4550,41.23515511621369,6.084217884523331,0.19896,4.9058081344654285,0,23.00820683511847,24.814307645554038,2.9298245614035086,125.92592998843975,1.6772578988998101,0.0
adolf fleischmann,4551,84.47432205514737,14.446740773947466,0.4632475,6.594065573357537,0,62.5157584692206,75.5101258948407,10.238095238095237,146.85080572816776,1.6717849020492077,0.0
adrien dax,3203,108.73939108433186,26.938477786811134,0.5662875,7.663232332629865,17,313.0599583031144,155.5880294007783,1.0,180.1849174922229,1.6691645624030695,35134.0
adrien dax,3204,76.83286351444788,12.09473372286511,0.40243,6.761179898276481,18,46.385028410644736,51.16735432992631,15.933333333333334,148.09535767760337,1.587164260933573,3069.0
adrien dax,3205,112.26683179977357,34.5366268776926,0.5782975,7.0166824398743985,14,669.6058594160131,263.7771806416294,1.0,178.02314087130742,1.6680954722264647,41530.0
adrien dax,3206,92.48922962366368,20.2551458464718,0.48867,7.08631639072793,20,102.89174052687304,88.81235460714076,1.0,170.17945401220874,1.638499497303083,6032.0
adrien dax,3207,118.0250890882981,33.42539757315118,0.5718575,7.572522462676018,12,293.07246440926974,183.114191500976,1.0,187.86992582488494,1.678091155916482,38869.0
adrien dax,3208,74.72741640136464,16.47658630357645,0.36219,5.843027596532966,14,124.63984045652614,86.74315307688444,14.875,162.13098910692375,1.6773296311361374,13169.0
adrien dax,3209,132.50108273624545,45.222283851653735,0.6372125,7.898772219149574,16,519.0841012410237,287.185754401323,1.0,193.93644459140347,1.679792830965747,57822.0
adrien dax,3210,103.49020978489641,20.375576509562272,0.542835,7.430158836321671,12,61.4766415865015,81.87391925597846,1.0,169.69455846148176,1.6600022933106753,2740.0
adrien dax,3211,115.73044806285189,29.2768081695299,0.5923075,7.423566057640469,14,206.11916002258658,150.89220724531043,1.0,178.55527168241085,1.662176171451283,24688.0
afro,190,101.3387938698133,15.431840803580249,0.556645,7.4745897073923375,12,37.4612791891559,58.41207213272384,inf,149.58004005914356,1.6123575020248022,1806.0
afro,191,83.428056925333,15.444757657034746,0.4604875,6.524892947369358,16,146.39947509480407,79.52387332433443,1.0,161.26235316967077,1.6695550100953185,12873.0
afro,192,109.33014717614789,20.711794606833774,0.5774875,7.322604751599393,15,59.35948220494902,80.33251502595344,1.0,162.05124989601632,1.6652333328312137,5420.0
afro,193,105.07328414798155,19.977053589745537,0.5645725,7.348207629322073,13,69.76351919857552,81.12650640288854,1.0,163.71442493481445,1.6505341919202103,6767.0
afro,194,78.66515716771394,10.18000015196298,0.427325,7.220090805745239,0,14.761531131909578,34.104651207680334,24.4,134.45489793535864,1.5664576018742076,0.0
afro,195,103.82300871507701,19.94704090083656,0.55533,7.2044966021745545,22,98.92457580193877,89.49800504760279,1.0,165.0097285915665,1.667191222630592,14016.0
